artist,album,track,uri,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_levels,album.release_year,album.release_year_category,artist.id,artist.genres,artist.popularity,artist.number_of_followers,estimated_genre_type,genre_category
MGMT,Congratulations,I Found a Whistle,3hWoBXsJfXFQDp92v14xFI,220173,37,0.166,0.525,-5.913,0.0329,0.549,0.02,0.161,0.1,175.952,3,"(24,85]",2010,"(2002,2010]",0SwO7SWeDHJijQ3XNS7xEE,alternative dance|indietronica|modern rock|rock,75,2681980,alternative,alternative
What the Tango?!,Alt Mission,Que Vuelva La Lluvia (Eo Remix),0LmQOJrajweoGhcecFdIal,208747,0,0.378,0.392,-10.53,0.032,0.117,0.052,0.0652,0.242,134.023,4,"[0,1]",2013,"(2010,2015]",1Rs2sifpDyJ0vJ2picQOUd,,0,36,,Not Assigned
John Coltrane,Giant Steps,Spiral,3E7FQp6WyhCNVgcWeEZFJw,362866,0,0.524,0.299,-13.617,0.0337,0.621,0.102,0.0706,0.316,91.968,4,"[0,1]",1960,"[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,65,1480095,jazz,jazz
Black Lips,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),O Katrina!,4Qudfeu1KaLd52nii47NUD,170840,0,0.252,0.851,-5.816,0.0394,0.000935,0.00156,0.113,0.786,179.737,4,"[0,1]",2010,"(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,0,1738944,,Not Assigned
Lauren Sevian,Bliss,Minimal Moves,72KvT2ZF76D6HkhYC4u4Ty,292247,0,0.45,0.562,-9.104,0.0486,0.801,0.62,0.204,0.618,133.768,4,"[0,1]",2018,"(2015,2022]",0Y6aUM2yWtx0OEBMhtVjDv,jazz saxophone,6,379,jazz,jazz
Alexa Tarantino,Crossing Paths,A Beautiful Friendship,1cygUU0sKiVOE9X7DTFgn5,299853,0,0.585,0.134,-14.383,0.0644,0.969,0.212,0.12,0.559,86.909,4,"[0,1]",2014,"(2010,2015]",4iP863xgxxSQUbKm7SVwXh,straight-ahead jazz,21,1719,jazz,jazz
Donald Harrison,Quantum Leap,Quantum Leap,2vwDYObx7qdyqMYDDtqKqE,226333,3,0.403,0.388,-12.127,0.047,0.368,0.627,0.258,0.476,84.642,4,"(1,24]",2010,"(2002,2010]",53pHwg1sjhqGk726JnJHYb,jazz saxophone|new orleans jazz,22,5145,jazz,jazz
What the Tango?!,Alt Mission,Bohemio,3xXBUTJOSsxOaIyYbisEJr,186421,0,0.568,0.404,-8.57,0.0328,0.691,0.000316,0.342,0.431,116.987,4,"[0,1]",2013,"(2010,2015]",1Rs2sifpDyJ0vJ2picQOUd,,0,36,,Not Assigned
The Cannonball Adderley Quintet,Cannonball Adderley Quintet In Chicago,The Sleeper,4JyPWE9OFzDMMqm62ski2L,432960,0,0.509,0.317,-13.881,0.0391,0.667,0.000106,0.0983,0.598,134.343,4,"[0,1]",1959,"[1957,2002]",2o346NHhUAlVxl5uXBVxK7,bebop|big band|hard bop|jazz|jazz funk|jazz fusion|jazz saxophone|soul jazz,35,34396,jazz,jazz
Alexa Tarantino,Crossing Paths,Crossing Paths,5aeG7bbd4N5J2ZsM0ZTNTp,357600,1,0.423,0.105,-14.062,0.0388,0.938,0.381,0.139,0.178,129.968,4,"[0,1]",2014,"(2010,2015]",4iP863xgxxSQUbKm7SVwXh,straight-ahead jazz,21,1719,jazz,jazz
Bernard Herrmann,Jazz in Film,Taxi Driver,4VYt5uJgILWehMiDXSutKs,432800,16,0.263,0.235,-13.069,0.0333,0.873,0.899,0.116,0.113,171.874,3,"(1,24]",1999,"[1957,2002]",0LyfQWJT6nXafLPZqxe9Of,,0,1738944,,Not Assigned
John Coltrane Sextet,Blue Train,Locomotion,36J4yloliKWHzAEhy2eHuF,434506,0,0.535,0.58,-9.679,0.0456,0.823,0.291,0.0982,0.848,133.715,4,"[0,1]",2010,"(2002,2010]",05TV25sw3rO4b7QUjcQcF2,spiritual jazz,10,1412,jazz,jazz
Charlie Parker,Best of the Complete Savoy & Dial Studio Recordings,Koko,4nb7JgtHyF1fQvxJISwg6h,173866,0,0.534,0.495,-9.53,0.0619,0.573,0.268,0.115,0.53,150.372,4,"[0,1]",2002,"[1957,2002]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,53,540626,jazz,jazz
Dave Liebman,Solo (Live in New York),Soprano Solo (Live),2utf4zLSlBAhdIV0ix3VOO,132963,0,0.5,0.379,-13.393,0.452,0.986,0.62,0.686,0.597,79.158,3,"[0,1]",2015,"(2010,2015]",429bUEZe2Hq5QJvO2CmhLn,avant-garde jazz|contemporary jazz|contemporary post-bop|ecm-style jazz|free jazz|italian jazz|japanese jazz|jazz|jazz fusion|jazz saxophone|swedish jazz|uk contemporary jazz,35,9673,jazz,jazz
Red Velvet,Our Beloved BoA #4 - SM STATION,Milky Way,2Oj5hRhkJH00VGzjBdQNq3,217533,47,0.656,0.721,-3.981,0.0477,0.393,0,0.124,0.74,98.019,4,"(24,85]",2020,"(2015,2022]",1z4g3DjTBBZKhvAroFlhOM,k-pop|k-pop girl group,76,7967911,k-pop,other
Flying Lotus,Cosmogramma,Table Tennis,4HyhcY8J1NWnOu1YjUwy6h,181546,29,0.492,0.662,-6.15,0.0568,0.02,9.55e-06,0.757,0.149,128.723,4,"(24,85]",2010,"(2002,2010]",29XOeO6KIWxGthejQqn793,afrofuturism|alternative hip-hop|electronica|escape room|experimental hip-hop|glitch|glitch hop|hip-hop|intelligent dance music|jazztronica|psychedelic hip-hop|wonky,57,714382,alternative,alternative
bôa,Twilight,Rain,1tgsUrBNQ9qBtl0OdsOGso,236266,0,0.595,0.747,-8.172,0.0328,0.307,1.69e-05,0.19,0.33,97.106,4,"[0,1]",2001,"[1957,2002]",5jTtGLk1mGFMY5lQOvJYUj,,63,261659,,Not Assigned
Flying Lotus,Cosmogramma,...And The World Laughs With You,6F0UFeNt06zoRSRt9zOZ4z,175040,39,0.637,0.717,-7.643,0.143,0.185,0.494,0.141,0.541,80.929,4,"(24,85]",2010,"(2002,2010]",29XOeO6KIWxGthejQqn793,afrofuturism|alternative hip-hop|electronica|escape room|experimental hip-hop|glitch|glitch hop|hip-hop|intelligent dance music|jazztronica|psychedelic hip-hop|wonky,57,714382,alternative,alternative
re:plus,Miscellany,"Sunrise, Sunset",3pFbuFqsZakrCSlfAoQXee,270493,19,0.555,0.447,-6.887,0.0293,0.944,0.827,0.0962,0.186,77.019,4,"(1,24]",2015,"(2010,2015]",6ftHlqrtNdAq0bWL7zkaTG,ambeat|japanese jazz fusion,38,36295,jazz,jazz
Chick Corea,Hot House,Chega de Saudade,4ub9KZHrMaMKHMdhZo5PN6,643773,7,0.37,0.257,-15.785,0.0434,0.992,0.881,0.15,0.163,117.067,4,"(1,24]",2012,"(2010,2015]",5olDKSsFhhmwh8UCWwKtpq,contemporary jazz|contemporary post-bop|ecm-style jazz|jazz|jazz fusion|jazz piano|uk contemporary jazz,51,313664,jazz,jazz
Charlie Parker,Charlie Parker With Strings,I'll Remember April,3ybQXKbjyjuqB17dLkyVJ2,185319,0,0.401,0.319,-8.237,0.0305,0.92,0.00289,0.0914,0.319,123.501,4,"[0,1]",2015,"(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,53,540626,jazz,jazz
Red Velvet,The Red - The 1st Album,Day 1,74muMkVdMYoR65lhmdzy13,206357,67,0.645,0.884,-2.801,0.0968,0.112,0,0.179,0.708,171.93,4,"(24,85]",2015,"(2010,2015]",1z4g3DjTBBZKhvAroFlhOM,k-pop|k-pop girl group,76,7967911,k-pop,other
bohemianvoodoo,echoes,Fly Away,76b2pCYiijvjJcQrjoLznG,356760,14,0.354,0.658,-7.711,0.0375,0.053,0.764,0.69,0.207,73.46,4,"(1,24]",2017,"(2015,2022]",2pKjlyTAEzqUAFsQNCgmkS,japanese jazz|japanese jazz fusion|japanese post-rock,30,25392,jazz,jazz
bôa,Twilight,Deeply,5wGtTGfUdijlDGrzNO04zl,274933,0,0.458,0.835,-6.786,0.0714,0.131,0,0.123,0.438,98.393,4,"[0,1]",2001,"[1957,2002]",5jTtGLk1mGFMY5lQOvJYUj,,63,261659,,Not Assigned
Aphex Twin,Collapse EP,MT1 t29r2,766E5SBcB2gZP5wFA6kd7m,364770,30,0.607,0.844,-10.726,0.0605,0.0678,0.891,0.133,0.26,160.03,4,"(24,85]",2018,"(2015,2022]",6kBDZFXuLrZgHnvmPu9NsG,ambient|braindance|electronica|intelligent dance music|uk experimental electronic,65,1009799,uk,other
Slint,Spiderland,"Don, Aman",4gqdSS1QtYfB90n7DECJXZ,388400,0,0.469,0.124,-24.361,0.0486,0.164,0.884,0.0988,0.0328,136.59,4,"[0,1]",1991,"[1957,2002]",4IwOItqRhsIoRuD5HP4vyC,alternative rock|art rock|dream pop|experimental|experimental rock|indie rock|louisville underground|math rock|post-hardcore|post-punk|post-rock|slowcore,42,157593,alternative,alternative
Anamanaguchi,Endless Fantasy,Planet,3HWv1LpUGpYszCUbYWq6OQ,258705,0,0.433,0.872,-3.843,0.0426,0.0306,0.0124,0.193,0.243,105.216,4,"[0,1]",2013,"(2010,2015]",2UwJRAgSOi1zcLkvUNc8XL,bitpop|chiptune|indie game soundtrack|nintendocore,51,173496,indie,indie
"Jose Luis ""Pepe"" Motta",Cuadro De Amigos,Almagreando,1NwliqIFponwPjs0JjgmJB,185759,0,0.518,0.389,-9.185,0.0362,0.495,0.216,0.747,0.477,112.861,4,"[0,1]",2010,"(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,0,1738944,,Not Assigned
Cannonball Adderley,Nancy Wilson/Cannonball Adderley,I Can't Get Started - Instrumental,5OJw2p5rD4DwtGOCC438De,297533,34,0.393,0.147,-13.093,0.0418,0.869,0.0411,0.0938,0.205,175.541,3,"(24,85]",1962,"[1957,2002]",2JfVCMa3FlvQRlLT5uH9zb,adult standards|lounge|vocal jazz,59,192779,jazz,jazz
bohemianvoodoo,echoes,石の教会,7zH3xhHgpXnTW0LKMz37Ea,376400,15,0.325,0.517,-11.07,0.0466,0.777,0.873,0.695,0.205,70.902,4,"(1,24]",2017,"(2015,2022]",2pKjlyTAEzqUAFsQNCgmkS,japanese jazz|japanese jazz fusion|japanese post-rock,30,25392,jazz,jazz
Bruno Mars,24K Magic,Too Good to Say Goodbye,0B0tYbVp7pDQAqKDhgMeaL,281826,67,0.587,0.63,-6.054,0.0311,0.0389,0,0.35,0.433,76.97,4,"(24,85]",2016,"(2015,2022]",0du5cEVh5yTK9QJze8zA0C,dance pop|pop,89,45443239,dance,dance
MGMT,Congratulations,Congratulations,6kblAEj0T0312fv5QWsXzo,235386,59,0.761,0.637,-8.169,0.0268,0.439,0.0082,0.102,0.656,125.115,4,"(24,85]",2010,"(2002,2010]",0SwO7SWeDHJijQ3XNS7xEE,alternative dance|indietronica|modern rock|rock,75,2681980,alternative,alternative
VHS Head,Trademark Ribbons of Gold,The Murder Cycles,73Z14T0xKPAtczrPNTuJiw,282586,3,0.57,0.904,-6.131,0.287,0.0233,0.158,0.163,0.534,130.115,4,"(1,24]",2010,"(2002,2010]",4yeeydDo3JBOENa72J7KdV,vaporwave,11,3063,vaporwave,other
Beck,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),Ramona - Acoustic Version,7opuHC7z0ZuDBCAXS0Pxie,60426,0,0.552,0.33,-9.532,0.0355,0.892,0.406,0.0984,0.123,131.418,4,"[0,1]",2010,"(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,0,1738944,,Not Assigned
