artist,album,track,uri,time_signature,popularity_levels,album.release_year_category,artist.id,artist.genres,estimated_genre_type,genre_category
MGMT,Congratulations,I Found a Whistle,3hWoBXsJfXFQDp92v14xFI,3,"(24,85]","(2002,2010]",0SwO7SWeDHJijQ3XNS7xEE,alternative dance|indietronica|modern rock|rock,alternative,alternative
What the Tango?!,Alt Mission,Que Vuelva La Lluvia (Eo Remix),0LmQOJrajweoGhcecFdIal,4,"[0,1]","(2010,2015]",1Rs2sifpDyJ0vJ2picQOUd,,,Not Assigned
John Coltrane,Giant Steps,Spiral,3E7FQp6WyhCNVgcWeEZFJw,4,"[0,1]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Black Lips,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),O Katrina!,4Qudfeu1KaLd52nii47NUD,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Lauren Sevian,Bliss,Minimal Moves,72KvT2ZF76D6HkhYC4u4Ty,4,"[0,1]","(2015,2022]",0Y6aUM2yWtx0OEBMhtVjDv,jazz saxophone,jazz,jazz
Alexa Tarantino,Crossing Paths,A Beautiful Friendship,1cygUU0sKiVOE9X7DTFgn5,4,"[0,1]","(2010,2015]",4iP863xgxxSQUbKm7SVwXh,straight-ahead jazz,jazz,jazz
Donald Harrison,Quantum Leap,Quantum Leap,2vwDYObx7qdyqMYDDtqKqE,4,"(1,24]","(2002,2010]",53pHwg1sjhqGk726JnJHYb,jazz saxophone|new orleans jazz,jazz,jazz
What the Tango?!,Alt Mission,Bohemio,3xXBUTJOSsxOaIyYbisEJr,4,"[0,1]","(2010,2015]",1Rs2sifpDyJ0vJ2picQOUd,,,Not Assigned
The Cannonball Adderley Quintet,Cannonball Adderley Quintet In Chicago,The Sleeper,4JyPWE9OFzDMMqm62ski2L,4,"[0,1]","[1957,2002]",2o346NHhUAlVxl5uXBVxK7,bebop|big band|hard bop|jazz|jazz funk|jazz fusion|jazz saxophone|soul jazz,jazz,jazz
Alexa Tarantino,Crossing Paths,Crossing Paths,5aeG7bbd4N5J2ZsM0ZTNTp,4,"[0,1]","(2010,2015]",4iP863xgxxSQUbKm7SVwXh,straight-ahead jazz,jazz,jazz
Bernard Herrmann,Jazz in Film,Taxi Driver,4VYt5uJgILWehMiDXSutKs,3,"(1,24]","[1957,2002]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
John Coltrane Sextet,Blue Train,Locomotion,36J4yloliKWHzAEhy2eHuF,4,"[0,1]","(2002,2010]",05TV25sw3rO4b7QUjcQcF2,spiritual jazz,jazz,jazz
