duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album.release_year,artist.popularity,artist.number_of_followers
220173,37,0.166,0.525,-5.913,0.0329,0.549,0.02,0.161,0.1,175.952,2010,75,2681980
208747,0,0.378,0.392,-10.53,0.032,0.117,0.052,0.0652,0.242,134.023,2013,0,36
362866,0,0.524,0.299,-13.617,0.0337,0.621,0.102,0.0706,0.316,91.968,1960,65,1480095
170840,0,0.252,0.851,-5.816,0.0394,0.000935,0.00156,0.113,0.786,179.737,2010,0,1738944
292247,0,0.45,0.562,-9.104,0.0486,0.801,0.62,0.204,0.618,133.768,2018,6,379
299853,0,0.585,0.134,-14.383,0.0644,0.969,0.212,0.12,0.559,86.909,2014,21,1719
226333,3,0.403,0.388,-12.127,0.047,0.368,0.627,0.258,0.476,84.642,2010,22,5145
186421,0,0.568,0.404,-8.57,0.0328,0.691,0.000316,0.342,0.431,116.987,2013,0,36
432960,0,0.509,0.317,-13.881,0.0391,0.667,0.000106,0.0983,0.598,134.343,1959,35,34396
357600,1,0.423,0.105,-14.062,0.0388,0.938,0.381,0.139,0.178,129.968,2014,21,1719
432800,16,0.263,0.235,-13.069,0.0333,0.873,0.899,0.116,0.113,171.874,1999,0,1738944
434506,0,0.535,0.58,-9.679,0.0456,0.823,0.291,0.0982,0.848,133.715,2010,10,1412
173866,0,0.534,0.495,-9.53,0.0619,0.573,0.268,0.115,0.53,150.372,2002,53,540626
132963,0,0.5,0.379,-13.393,0.452,0.986,0.62,0.686,0.597,79.158,2015,35,9673
217533,47,0.656,0.721,-3.981,0.0477,0.393,0,0.124,0.74,98.019,2020,76,7967911
181546,29,0.492,0.662,-6.15,0.0568,0.02,9.55e-06,0.757,0.149,128.723,2010,57,714382
236266,0,0.595,0.747,-8.172,0.0328,0.307,1.69e-05,0.19,0.33,97.106,2001,63,261659
175040,39,0.637,0.717,-7.643,0.143,0.185,0.494,0.141,0.541,80.929,2010,57,714382
270493,19,0.555,0.447,-6.887,0.0293,0.944,0.827,0.0962,0.186,77.019,2015,38,36295
643773,7,0.37,0.257,-15.785,0.0434,0.992,0.881,0.15,0.163,117.067,2012,51,313664
185319,0,0.401,0.319,-8.237,0.0305,0.92,0.00289,0.0914,0.319,123.501,2015,53,540626
206357,67,0.645,0.884,-2.801,0.0968,0.112,0,0.179,0.708,171.93,2015,76,7967911
356760,14,0.354,0.658,-7.711,0.0375,0.053,0.764,0.69,0.207,73.46,2017,30,25392
274933,0,0.458,0.835,-6.786,0.0714,0.131,0,0.123,0.438,98.393,2001,63,261659
364770,30,0.607,0.844,-10.726,0.0605,0.0678,0.891,0.133,0.26,160.03,2018,65,1009799
388400,0,0.469,0.124,-24.361,0.0486,0.164,0.884,0.0988,0.0328,136.59,1991,42,157593
258705,0,0.433,0.872,-3.843,0.0426,0.0306,0.0124,0.193,0.243,105.216,2013,51,173496
185759,0,0.518,0.389,-9.185,0.0362,0.495,0.216,0.747,0.477,112.861,2010,0,1738944
297533,34,0.393,0.147,-13.093,0.0418,0.869,0.0411,0.0938,0.205,175.541,1962,59,192779
376400,15,0.325,0.517,-11.07,0.0466,0.777,0.873,0.695,0.205,70.902,2017,30,25392
281826,67,0.587,0.63,-6.054,0.0311,0.0389,0,0.35,0.433,76.97,2016,89,45443239
235386,59,0.761,0.637,-8.169,0.0268,0.439,0.0082,0.102,0.656,125.115,2010,75,2681980
282586,3,0.57,0.904,-6.131,0.287,0.0233,0.158,0.163,0.534,130.115,2010,11,3063
60426,0,0.552,0.33,-9.532,0.0355,0.892,0.406,0.0984,0.123,131.418,2010,0,1738944
692973,48,0.487,0.24,-14.657,0.0306,0.764,0.0025,0.103,0.362,140.033,1959,63,2347037
212914,18,0.396,0.97,-3.047,0.452,0.00177,0.00128,0.118,0.398,174.895,2013,37,88698
581333,2,0.606,0.394,-10.068,0.0436,0.778,0.913,0.134,0.6,100.228,2015,26,2980
168541,12,0.687,0.992,-4.521,0.0818,0.0153,0.324,0.0578,0.525,143.944,2011,37,88698
249503,27,0.498,0.875,-7.595,0.0924,0.000167,0.916,0.305,0.391,144.956,2018,19,4978
219626,44,0.565,0.763,-7.043,0.0584,0.27,0.0087,0.299,0.283,139.995,2007,75,2681980
258266,0,0.303,0.0141,-19.759,0.0418,0.948,0.0944,0.0792,0.157,171.439,1960,65,1480095
354360,0,0.633,0.831,-5.053,0.0461,0.0401,0.693,0.117,0.243,127.397,2007,57,591926
262733,17,0.635,0.228,-16.98,0.0516,0.903,0.58,0.143,0.349,149.692,1959,56,236687
374906,35,0.442,0.141,-15.784,0.0333,0.96,0.827,0.109,0.269,105.141,2007,47,126668
221093,33,0.584,0.513,-7.637,0.0301,0.00343,0.000251,0.111,0.193,152.061,2009,62,482388
115560,1,0.563,0.641,-7.845,0.0506,0.895,0.686,0.0986,0.256,107.949,2010,11,3063
191538,16,0.156,0.121,-18.918,0.0319,0.914,0.805,0.0885,0.0398,79.615,2011,37,88698
