fecha,Edad,Sexo,hermanos,anho_ingreso,distrito,nivel_ingles,gusta_leer,gusta_escucharmusica,gusta_verpeliculasoseries,gusta_aprenderalgonuevo,gusta_videojuegos,gusta_tocarinstrumentomusical,gusta_hacerdeporte,gusta_salirabailar,gusta_cocinar,gusta_estudiarestadistica,horas_estudio
09-01-21 11:37,19,Masculino,1,2019,"La Perla, Callao",Intermedio.,No,Si,Si,Si,Si,No,Si,No,No,No,20
09-01-21 11:39,21,Masculino,1,2019,Pueblo Libre,Avanzado.,Si,Si,Si,Si,Si,No,Si,No,No,No,3
09-01-21 12:21,17,Masculino,4,2021,"Puno,Puno",Básico.,No,Si,Si,Si,Si,Si,No,No,No,No,0
09-01-21 12:37,17,Femenino,1,2021,"Ventanilla, Callao",Básico.,Si,Si,Si,Si,No,No,No,Si,No,No,10
09-01-21 13:03,17,Femenino,3,2021,Huncayo ,Intermedio.,Si,Si,Si,Si,No,No,No,No,No,Si,
09-01-21 13:31,19,Femenino,3,2020,"Pueblo libre, Lima",Intermedio.,Si,Si,Si,Si,No,No,No,No,Si,Si,35
09-01-21 14:08,21,Masculino,1,2019,Los Olivos,Básico.,No,No,Si,Si,Si,No,Si,No,No,Si,45
09-01-21 15:03,20,Femenino,2,2020,"Los olivos, Lima",Básico.,Si,Si,Si,Si,No,No,Si,Si,Si,Si,31
09-01-21 22:27,19,Femenino,2,2019,"Los olivos, Lima",Básico.,No,Si,Si,Si,Si,No,Si,Si,Si,No,10
09-01-21 23:57,17,Femenino,6,2021,Ventanilla - Callao,Básico.,Si,Si,Si,Si,No,No,No,No,No,No,10
09-02-21 1:22,18,Masculino,2,2020,Provincia: Trujillo/ Distrito: Trujillo,Avanzado.,No,Si,Si,Si,Si,Si,Si,No,No,Si,9
09-02-21 11:15,20,Masculino,2,2019,SJL,Básico.,No,Si,Si,Si,Si,No,Si,Si,No,No,5
09-02-21 22:30,21,Femenino,2,2019,"Comas, Lima",Avanzado.,No,Si,Si,Si,No,No,No,No,Si,No,18
09-02-21 23:28,19,Femenino,0,2019,Huancayo,Básico.,Si,Si,Si,No,No,No,No,Si,No,No,3
09-04-21 16:41,18,Femenino,1,2021,Miraflores- Lima,Intermedio.,Si,Si,Si,Si,Si,No,Si,Si,Si,No,12
